Date,Currency,Rate
01.01.2022,EUR,30.9226
31.12.2021,EUR,30.9226
30.12.2021,EUR,30.776
29.12.2021,EUR,30.8401
28.12.2021,EUR,30.8196
27.12.2021,EUR,30.845
26.12.2021,EUR,30.845
25.12.2021,EUR,30.845
24.12.2021,EUR,30.845
23.12.2021,EUR,30.8084
22.12.2021,EUR,30.7859
21.12.2021,EUR,30.7661
20.12.2021,EUR,30.8573
19.12.2021,EUR,30.8435
18.12.2021,EUR,30.8435
17.12.2021,EUR,30.8435
16.12.2021,EUR,30.6186
15.12.2021,EUR,30.534
14.12.2021,EUR,30.3272
13.12.2021,EUR,30.4521
12.12.2021,EUR,30.6773
11.12.2021,EUR,30.6773
10.12.2021,EUR,30.6773
09.12.2021,EUR,30.7698
08.12.2021,EUR,30.7277
07.12.2021,EUR,30.9055
06.12.2021,EUR,30.8277
05.12.2021,EUR,30.9438
04.12.2021,EUR,30.9438
03.12.2021,EUR,30.9438
02.12.2021,EUR,30.8443
01.12.2021,EUR,30.9221
30.11.2021,EUR,30.6481
29.11.2021,EUR,30.5752
28.11.2021,EUR,30.3376
27.11.2021,EUR,30.3376
26.11.2021,EUR,30.3376
25.11.2021,EUR,30.1734
24.11.2021,EUR,30.2354
23.11.2021,EUR,30.0591
22.11.2021,EUR,29.9796
21.11.2021,EUR,29.9688
20.11.2021,EUR,29.9688
19.11.2021,EUR,29.9688
18.11.2021,EUR,29.9974
17.11.2021,EUR,30.0266
16.11.2021,EUR,30.1468
15.11.2021,EUR,29.9007
14.11.2021,EUR,29.9144
13.11.2021,EUR,29.9144
12.11.2021,EUR,29.9144
11.11.2021,EUR,30.1186
10.11.2021,EUR,30.2075
09.11.2021,EUR,30.2026
08.11.2021,EUR,30.0969
07.11.2021,EUR,30.2848
06.11.2021,EUR,30.2848
05.11.2021,EUR,30.2848
04.11.2021,EUR,30.3646
03.11.2021,EUR,30.4903
02.11.2021,EUR,30.4358
01.11.2021,EUR,30.5953
31.10.2021,EUR,30.5032
30.10.2021,EUR,30.5032
29.10.2021,EUR,30.5032
28.10.2021,EUR,30.6447
27.10.2021,EUR,30.6791
26.10.2021,EUR,30.5749
25.10.2021,EUR,30.5774
24.10.2021,EUR,30.5774
23.10.2021,EUR,30.5774
22.10.2021,EUR,30.4934
21.10.2021,EUR,30.4836
20.10.2021,EUR,30.6056
19.10.2021,EUR,30.5611
18.10.2021,EUR,30.446
17.10.2021,EUR,30.4265
16.10.2021,EUR,30.4265
15.10.2021,EUR,30.4265
14.10.2021,EUR,30.4265
13.10.2021,EUR,30.4265
12.10.2021,EUR,30.5012
11.10.2021,EUR,30.4768
10.10.2021,EUR,30.4378
09.10.2021,EUR,30.4378
08.10.2021,EUR,30.4378
07.10.2021,EUR,30.4135
06.10.2021,EUR,30.6536
05.10.2021,EUR,30.9261
04.10.2021,EUR,30.8716
03.10.2021,EUR,30.8231
02.10.2021,EUR,30.8231
01.10.2021,EUR,30.8231
30.09.2021,EUR,30.981
29.09.2021,EUR,31.0335
28.09.2021,EUR,31.1764
27.09.2021,EUR,31.2153
26.09.2021,EUR,31.0846
25.09.2021,EUR,31.0846
24.09.2021,EUR,31.0846
23.09.2021,EUR,31.2856
22.09.2021,EUR,31.3566
21.09.2021,EUR,31.2701
20.09.2021,EUR,31.4626
19.09.2021,EUR,31.37
18.09.2021,EUR,31.37
17.09.2021,EUR,31.37
16.09.2021,EUR,31.517
15.09.2021,EUR,31.4627
14.09.2021,EUR,31.4472
13.09.2021,EUR,31.5843
12.09.2021,EUR,31.624
11.09.2021,EUR,31.624
10.09.2021,EUR,31.624
09.09.2021,EUR,31.6315
08.09.2021,EUR,31.7091
07.09.2021,EUR,31.8063
06.09.2021,EUR,31.9684
05.09.2021,EUR,32.0067
04.09.2021,EUR,32.0067
03.09.2021,EUR,32.0067
02.09.2021,EUR,31.9323
01.09.2021,EUR,31.8317
31.08.2021,EUR,31.6963
30.08.2021,EUR,31.6645
29.08.2021,EUR,31.6645
28.08.2021,EUR,31.6645
27.08.2021,EUR,31.5121
26.08.2021,EUR,31.3438
25.08.2021,EUR,31.1287
24.08.2021,EUR,31.169
23.08.2021,EUR,31.169
22.08.2021,EUR,31.169
21.08.2021,EUR,31.169
20.08.2021,EUR,31.169
19.08.2021,EUR,31.2379
18.08.2021,EUR,31.382
17.08.2021,EUR,31.3633
16.08.2021,EUR,31.3978
15.08.2021,EUR,31.421
14.08.2021,EUR,31.421
13.08.2021,EUR,31.421
12.08.2021,EUR,31.4105
11.08.2021,EUR,31.3617
10.08.2021,EUR,31.5302
09.08.2021,EUR,31.6756
08.08.2021,EUR,31.8964
07.08.2021,EUR,31.8964
06.08.2021,EUR,31.8964
05.08.2021,EUR,31.9482
04.08.2021,EUR,31.8913
03.08.2021,EUR,31.9032
02.08.2021,EUR,31.8946
01.08.2021,EUR,31.9239
31.07.2021,EUR,31.9239
30.07.2021,EUR,31.9239
29.07.2021,EUR,31.7021
28.07.2021,EUR,31.7814
27.07.2021,EUR,31.8087
26.07.2021,EUR,31.845
25.07.2021,EUR,32.0343
24.07.2021,EUR,32.0343
23.07.2021,EUR,32.0343
22.07.2021,EUR,32.0607
21.07.2021,EUR,32.0344
20.07.2021,EUR,32.0313
19.07.2021,EUR,32.141
18.07.2021,EUR,32.2369
17.07.2021,EUR,32.2369
16.07.2021,EUR,32.2369
15.07.2021,EUR,32.2482
14.07.2021,EUR,32.372
13.07.2021,EUR,32.3459
12.07.2021,EUR,32.4056
11.07.2021,EUR,32.3191
10.07.2021,EUR,32.3191
09.07.2021,EUR,32.3191
08.07.2021,EUR,32.291
07.07.2021,EUR,32.2623
06.07.2021,EUR,32.3732
05.07.2021,EUR,32.4107
04.07.2021,EUR,32.5227
03.07.2021,EUR,32.5227
02.07.2021,EUR,32.5227
01.07.2021,EUR,32.3463
30.06.2021,EUR,32.3018
29.06.2021,EUR,32.7401
28.06.2021,EUR,32.7928
27.06.2021,EUR,32.7928
26.06.2021,EUR,32.7928
25.06.2021,EUR,32.7928
24.06.2021,EUR,32.6003
23.06.2021,EUR,32.467
22.06.2021,EUR,32.2882
21.06.2021,EUR,32.4424
20.06.2021,EUR,32.4424
19.06.2021,EUR,32.4424
18.06.2021,EUR,32.4424
17.06.2021,EUR,32.7722
16.06.2021,EUR,32.6166
15.06.2021,EUR,32.7053
14.06.2021,EUR,32.7905
13.06.2021,EUR,32.989
12.06.2021,EUR,32.989
11.06.2021,EUR,32.989
10.06.2021,EUR,33.0248
09.06.2021,EUR,33.1104
08.06.2021,EUR,33.0781
07.06.2021,EUR,33.0635
06.06.2021,EUR,33.2577
05.06.2021,EUR,33.2577
04.06.2021,EUR,33.2577
03.06.2021,EUR,33.3348
02.06.2021,EUR,33.5335
01.06.2021,EUR,33.5116
31.05.2021,EUR,33.3896
30.05.2021,EUR,33.5693
29.05.2021,EUR,33.5693
28.05.2021,EUR,33.5693
27.05.2021,EUR,33.6765
26.05.2021,EUR,33.6643
25.05.2021,EUR,33.4911
24.05.2021,EUR,33.4799
23.05.2021,EUR,33.5174
22.05.2021,EUR,33.5174
21.05.2021,EUR,33.5174
20.05.2021,EUR,33.488
19.05.2021,EUR,33.5319
18.05.2021,EUR,33.4449
17.05.2021,EUR,33.4781
16.05.2021,EUR,33.3738
15.05.2021,EUR,33.3738
14.05.2021,EUR,33.3738
13.05.2021,EUR,33.4953
12.05.2021,EUR,33.6728
11.05.2021,EUR,33.4904
10.05.2021,EUR,33.4129
09.05.2021,EUR,33.4129
08.05.2021,EUR,33.4129
07.05.2021,EUR,33.4129
06.05.2021,EUR,33.2751
05.05.2021,EUR,33.5112
04.05.2021,EUR,33.6427
03.05.2021,EUR,33.6427
02.05.2021,EUR,33.6427
01.05.2021,EUR,33.6427
30.04.2021,EUR,33.6427
29.04.2021,EUR,33.526
28.04.2021,EUR,33.5577
27.04.2021,EUR,33.6512
26.04.2021,EUR,33.6714
25.04.2021,EUR,33.8103
24.04.2021,EUR,33.8103
23.04.2021,EUR,33.8103
22.04.2021,EUR,33.6986
21.04.2021,EUR,33.7362
20.04.2021,EUR,33.7099
19.04.2021,EUR,33.525
18.04.2021,EUR,33.4616
17.04.2021,EUR,33.4616
16.04.2021,EUR,33.4616
15.04.2021,EUR,33.4753
14.04.2021,EUR,33.3218
13.04.2021,EUR,33.2758
12.04.2021,EUR,33.1522
11.04.2021,EUR,33.2266
10.04.2021,EUR,33.2266
09.04.2021,EUR,33.2266
08.04.2021,EUR,33.1388
07.04.2021,EUR,32.898
06.04.2021,EUR,32.8632
05.04.2021,EUR,32.8365
04.04.2021,EUR,32.7003
03.04.2021,EUR,32.7003
02.04.2021,EUR,32.7003
01.04.2021,EUR,32.629
31.03.2021,EUR,32.7233
30.03.2021,EUR,32.9661
29.03.2021,EUR,32.9532
28.03.2021,EUR,33.0337
27.03.2021,EUR,33.0337
26.03.2021,EUR,33.0337
25.03.2021,EUR,32.9389
24.03.2021,EUR,32.9329
23.03.2021,EUR,33.0072
22.03.2021,EUR,32.9502
21.03.2021,EUR,32.9785
20.03.2021,EUR,32.9785
19.03.2021,EUR,32.9785
18.03.2021,EUR,32.9853
17.03.2021,EUR,32.9632
16.03.2021,EUR,32.9523
15.03.2021,EUR,33.0839
14.03.2021,EUR,33.1748
13.03.2021,EUR,33.1748
12.03.2021,EUR,33.1748
11.03.2021,EUR,32.9317
10.03.2021,EUR,32.9741
09.03.2021,EUR,33.075
08.03.2021,EUR,33.4062
07.03.2021,EUR,33.4062
06.03.2021,EUR,33.4062
05.03.2021,EUR,33.4062
04.03.2021,EUR,33.5565
03.03.2021,EUR,33.6006
02.03.2021,EUR,33.717
01.03.2021,EUR,33.8449
28.02.2021,EUR,34.1459
27.02.2021,EUR,34.1459
26.02.2021,EUR,34.1459
25.02.2021,EUR,33.9289
24.02.2021,EUR,33.883
23.02.2021,EUR,33.8866
22.02.2021,EUR,33.7768
21.02.2021,EUR,33.6478
20.02.2021,EUR,33.6478
19.02.2021,EUR,33.6478
18.02.2021,EUR,33.6422
17.02.2021,EUR,33.7708
16.02.2021,EUR,33.9297
15.02.2021,EUR,33.6801
14.02.2021,EUR,33.8111
13.02.2021,EUR,33.8111
12.02.2021,EUR,33.8111
11.02.2021,EUR,33.6655
10.02.2021,EUR,33.4406
09.02.2021,EUR,33.2604
08.02.2021,EUR,33.2823
07.02.2021,EUR,33.4509
06.02.2021,EUR,33.4509
05.02.2021,EUR,33.4509
04.02.2021,EUR,33.6374
03.02.2021,EUR,33.7913
02.02.2021,EUR,33.9039
01.02.2021,EUR,34.157
31.01.2021,EUR,34.1035
30.01.2021,EUR,34.1035
29.01.2021,EUR,34.1035
28.01.2021,EUR,34.1207
27.01.2021,EUR,34.1897
26.01.2021,EUR,34.2265
25.01.2021,EUR,34.2526
24.01.2021,EUR,34.3651
23.01.2021,EUR,34.3651
22.01.2021,EUR,34.3651
21.01.2021,EUR,34.1488
20.01.2021,EUR,34.1555
19.01.2021,EUR,34.0158
18.01.2021,EUR,34.0121
17.01.2021,EUR,34.0121
16.01.2021,EUR,34.0121
15.01.2021,EUR,33.9888
14.01.2021,EUR,34.0373
13.01.2021,EUR,34.0787
12.01.2021,EUR,34.2817
11.01.2021,EUR,34.909
10.01.2021,EUR,34.846
09.01.2021,EUR,34.846
08.01.2021,EUR,34.846
07.01.2021,EUR,34.846
06.01.2021,EUR,34.846
05.01.2021,EUR,34.9389
04.01.2021,EUR,34.7396
03.01.2021,EUR,34.7396
02.01.2021,EUR,34.7396
01.01.2021,EUR,34.7396
